date,id,child_of,view_url,view_name,author,text
2014/12/12 10:19:11,266,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,John Krauss,"Lat/Lon has disappeared for the vast majority of these records.  Many people depend on that geocoding, which was one of the major values-added from posting this data set.  When will it be restored?"
2015/03/27 10:45:58,267,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,michael cohen,"Does this data include crashes on the interstate highways such as the BQE?   don't see any highways listed in the ""On Street Name"" field."
2015/06/22 16:47:58,268,,https://data.cityofnewyork.us/_/_/h9gi-nx95,NYPD Motor Vehicle Collisions,Cristinafurlong,"I am doing grad school research around school safety/pedestrian issues for Queens. If anyone is interested in the project, a map, similar to the Vision Zero data view map, please let me know. I need to join fields and clean data. I am not a data person. "
2014/09/02 16:24:23,269,,https://data.cityofnewyork.us/_/_/emrz-5p35,Invoices for Open Market Order (OMO) Charges,DEBBY,How can I pay this open invoice?
2014/10/21 15:59:06,270,269,https://data.cityofnewyork.us/_/_/emrz-5p35,Invoices for Open Market Order (OMO) Charges,NYC OpenData,We apologize for the delayed response. You can make the payment from the agency (HPD) website. If you have any further questions please contact the agency
2011/12/17 12:44:55,271,,https://data.cityofnewyork.us/_/_/mbd7-jfnc,DYCD after-school programs,,"If I understand correctly, this is the master list of DYCD after school programs. They have also been broken out by program type in the following URLS --\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-ISY-In-School-Youth-Emp/56u9-ryj4\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-NDA-Adult-Literacy-Prog/ia9u-k3t3\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-Young-Adult-Internship-/73bd-vkmx\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-Beacon-Programs/35sw-rdxj\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-NDA-Educational-Middle-/6rg9-pfbz\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-Teen-ACTION-Programs/fijd-wye8\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-NDA-Youth-Employment-Pr/mrxb-9w9v\n\nhttp://nycopendata.socrata.com/Education/DYCD-after-school-programs-Beacon-Satellite-At-NYC/pyif-r8qe\n\nThis list is incomplete but I believe the theory is solid. I've spot checked a few of them and they seem to match. If someone could confirm it'd be much appreciated!"
2014/10/21 15:28:14,272,271,https://data.cityofnewyork.us/_/_/mbd7-jfnc,DYCD after-school programs,NYC OpenData,We apologize for the delayed response.  We have read you comment and will reply to your inquiry as soon as we receive an answer
2014/08/24 09:54:52,273,,https://data.cityofnewyork.us/_/_/wvxf-dwi5,Housing Maintenance Code Violations,barry,Seems this dataset has not been updated since 1/32/2014
2014/10/21 15:59:51,274,273,https://data.cityofnewyork.us/_/_/wvxf-dwi5,Housing Maintenance Code Violations,NYC OpenData,We apologize for the delayed response.\nThe data has been updated now.
2015/03/12 12:05:34,275,,https://data.cityofnewyork.us/_/_/wvxf-dwi5,Housing Maintenance Code Violations,Jeffrey Strykowski,"When will NYC OpenData be updated with the HPD NOVs issued in February, 2015?  "
2015/08/03 16:40:36,276,,https://data.cityofnewyork.us/_/_/wvxf-dwi5,Housing Maintenance Code Violations,cea,would it be possible to include unit counts for multifamily buildings on this list? it would be helpful to be able to get a sense of the number of violations per building per unit. Thanks. 
2015/09/09 11:38:48,277,,https://data.cityofnewyork.us/_/_/wvxf-dwi5,Housing Maintenance Code Violations,Russell Matney,"Thank you Socrata and NYC Open Data for making this so accessible!\n\nI've found an inaccuracy in the way this data is being handled - it seems the violationIDs are being treated as unique ids for this table. This is not the way the city handles the data (see the violation files documentation here: http://www1.nyc.gov/site/hpd/about/open-data.page) There should be a record every time the a particular violation's status is updated. Instead, only the latest violation status is available. While this is fine if someone only cares about the latest status, it makes a historical perspective on violation handling difficult/impossible.\n\nA quick example: this view (https://data.cityofnewyork.us/Housing-Development/violation_id-is-10407848/w4i9-r9s5) shows only 1 status for the particular violationId. However, there have to be at least 2 - the NOV_issued date (October/Nov 2014) and the date closed, and potentially more in between.\n\nIt is true that the city has written themselves out of their own historical perspective as well (at least from the available data on their site). As the fields have changed, they've struck the old docs and included only the latest version of every violation's status at that point in time, making it impossible to see accurate pre-october-2012 violation progression. It would be nice to at least handle what we do have access to properly."
2015/07/07 13:54:46,278,,https://data.cityofnewyork.us/_/_/78dh-3ptz,Police Precincts,dan,noise from trucks 2 am 3 am 4 am 
2015/07/31 11:55:55,279,,https://data.cityofnewyork.us/_/_/78dh-3ptz,Police Precincts,Elaine,"All the precincts aren't carrying over to Google maps for some reason. I tried both the KMZ and KML format. But, for instance, in Precinct 1, the borders didn't keep. "
2014/12/04 11:41:59,280,,https://data.cityofnewyork.us/_/_/79z8-9mcf,MINY Vendors,spatrick,What are MINY Vendors?
2015/06/30 01:08:36,281,,https://data.cityofnewyork.us/_/_/79z8-9mcf,MINY Vendors,오성 권, MINY Vendors?? What is that?? IT?? Small Business??
2014/10/02 15:16:44,282,,https://data.cityofnewyork.us/_/_/qqsi-vm9f,Map of Soccer and Football Fields,Matthew Cosgrove,How can I see just the total number of fields?
2014/10/21 16:28:48,283,282,https://data.cityofnewyork.us/_/_/qqsi-vm9f,Map of Soccer and Football Fields,NYC OpenData,Please export the dataset as a csv file and obtain the count
2014/12/05 10:16:35,284,,https://data.cityofnewyork.us/_/_/qqsi-vm9f,Map of Soccer and Football Fields,lenmoroz,Probably outdated.  There are many more soccer fields on Wards Island now.
2013/10/22 22:10:21,285,,https://data.cityofnewyork.us/_/_/bbs3-q5us,2009 Campaign Contributions,Ari Jankelowitz,Data is incomplete please update with full info from NYCCFB.info
2014/10/21 16:19:36,286,285,https://data.cityofnewyork.us/_/_/bbs3-q5us,2009 Campaign Contributions,NYC OpenData,We apologize for the delayed response. We will pass on the information to the appropriate agency and will update you once we hear from them.
2013/10/29 06:41:40,287,,https://data.cityofnewyork.us/_/_/xsat-x5sa,Real-Time Traffic Speed Data,cclauss,"This dataset has endOfLine characters in the LinkPoints field of numerous records.  This makes the file difficult to parse.  If you open a local copy of this dataset in a syntax highlighting editor, you will see the issue."
2014/05/01 20:18:45,288,,https://data.cityofnewyork.us/_/_/xsat-x5sa,Real-Time Traffic Speed Data,mavvaj,Is this list no longer maintaned? 
2014/07/07 14:41:45,289,,https://data.cityofnewyork.us/_/_/xsat-x5sa,Real-Time Traffic Speed Data,Sean Zhan,Is there a way or any sources I can get the past data of this dataset?
2014/10/20 15:35:10,290,,https://data.cityofnewyork.us/_/_/xsat-x5sa,Real-Time Traffic Speed Data,NYC OpenData,We apologize for the delayed response. \n\n@cclauss: We will pass on your request/suggestion to NYC DOT and will update you once we hear from them.\n\n@mavvaj: The data is current. Please click on the external link and you will get the latest data.\n\n@Sean Zhan: We will pass on your request to NYC DOT and will update you once we hear from them.
2015/07/30 03:16:26,291,,https://data.cityofnewyork.us/_/_/xsat-x5sa,Real-Time Traffic Speed Data,Ismael Navas Delgado,The data source seems to be frozen. There is the same data since yestarday :(
